,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,ground_clearance_mm,height
0,18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet chevelle malibu,198.99125168804318,2354.830005575066
1,15.0,8,350.0,165.0,3693,11.5,70,usa,buick skylark 320,154.59448441944778,2273.383572546694
2,18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth satellite,185.3606397378436,2607.497867922757
3,16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst,159.03191308245454,2774.271298363952
4,17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino,169.08979689260838,2936.9556334716153
5,15.0,8,429.0,198.0,4341,10.0,70,usa,ford galaxie 500,169.39968593483079,2076.9987854105248
6,14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala,156.2814173954971,2368.15524561288
7,14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii,170.38312115167668,2708.840754057774
8,14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac catalina,163.77946845811132,2038.8670283146878
9,15.0,8,390.0,190.0,3850,8.5,70,usa,amc ambassador dpl,188.49946735205504,2616.907935763868
10,15.0,8,383.0,170.0,3563,10.0,70,usa,dodge challenger se,156.67046844472745,2067.0021850286676
11,14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth 'cuda 340,193.33466961822154,2518.6148260020786
12,15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet monte carlo,180.01377269001682,2821.8570593258773
13,14.0,8,455.0,225.0,3086,10.0,70,usa,buick estate wagon (sw),163.41650282865615,2580.7352916439945
14,24.0,4,113.0,95.0,2372,15.0,70,japan,toyota corona mark ii,150.17523424252397,2791.9075767309023
15,22.0,6,198.0,95.0,2833,15.5,70,usa,plymouth duster,186.7417293543931,2687.7530777584034
16,18.0,6,199.0,97.0,2774,15.5,70,usa,amc hornet,190.9280581922358,2110.1525831109084
17,21.0,6,200.0,85.0,2587,16.0,70,usa,ford maverick,197.43502486425143,2891.699887021028
18,27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510,178.74040045494954,2563.7290646099214
19,26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan,164.2760001228339,2669.894187765895
20,25.0,4,110.0,87.0,2672,17.5,70,europe,peugeot 504,166.29469913566604,2573.115623838762
21,24.0,4,107.0,90.0,2430,14.5,70,europe,audi 100 ls,184.178701137863,2183.3592976497825
22,25.0,4,104.0,95.0,2375,17.5,70,europe,saab 99e,171.4005676436954,2918.7358191224375
23,26.0,4,121.0,113.0,2234,12.5,70,europe,bmw 2002,166.32038993132576,2940.0174555294902
24,21.0,6,199.0,90.0,2648,15.0,70,usa,amc gremlin,171.4111823160686,2091.651926645565
25,10.0,8,360.0,215.0,4615,14.0,70,usa,ford f250,181.25278594215885,2069.604765246329
26,10.0,8,307.0,200.0,4376,15.0,70,usa,chevy c20,197.76640377594657,2994.41350601545
27,11.0,8,318.0,210.0,4382,13.5,70,usa,dodge d200,182.0640424062336,2364.6731076653305
28,9.0,8,304.0,193.0,4732,18.5,70,usa,hi 1200d,158.3305821303486,2652.008780122016
29,27.0,4,97.0,88.0,2130,14.5,71,japan,datsun pl510,154.56173488748206,2935.243023891721
30,28.0,4,140.0,90.0,2264,15.5,71,usa,chevrolet vega 2300,153.41991658101375,2888.909336754734
31,25.0,4,113.0,95.0,2228,14.0,71,japan,toyota corona,167.5100465305154,2360.854524159503
32,25.0,4,98.0,,2046,19.0,71,usa,ford pinto,194.8424736599564,2676.8249968442115
33,19.0,6,232.0,100.0,2634,13.0,71,usa,amc gremlin,181.95908283129899,2278.2641278944548
34,16.0,6,225.0,105.0,3439,15.5,71,usa,plymouth satellite custom,193.91779970546187,2820.789435751146
35,17.0,6,250.0,100.0,3329,15.5,71,usa,chevrolet chevelle malibu,163.47639341021272,2626.8163084661546
36,19.0,6,250.0,88.0,3302,15.5,71,usa,ford torino 500,155.36738047687683,2426.392321016723
37,18.0,6,232.0,100.0,3288,15.5,71,usa,amc matador,191.3106370518577,2175.3272101471994
38,14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet impala,172.2942434275379,2389.934268224463
39,14.0,8,400.0,175.0,4464,11.5,71,usa,pontiac catalina brougham,154.50706423917788,2838.061868739629
40,14.0,8,351.0,153.0,4154,13.5,71,usa,ford galaxie 500,172.49276558563213,2689.070360077372
41,14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth fury iii,190.4019527280239,2202.630908041684
42,12.0,8,383.0,180.0,4955,11.5,71,usa,dodge monaco (sw),168.10734928102318,2198.3958646048286
43,13.0,8,400.0,170.0,4746,12.0,71,usa,ford country squire (sw),150.98328994125367,2870.3716259361913
44,13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac safari (sw),190.46403720788788,2300.9464992755625
45,18.0,6,258.0,110.0,2962,13.5,71,usa,amc hornet sportabout (sw),193.0546415622429,2479.998111699666
46,22.0,4,140.0,72.0,2408,19.0,71,usa,chevrolet vega (sw),176.45272567702318,2382.9921718325586
47,19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac firebird,196.38389580094127,2932.5710232968404
48,18.0,6,250.0,88.0,3139,14.5,71,usa,ford mustang,169.89820348057594,2176.853049928035
49,23.0,4,122.0,86.0,2220,14.0,71,usa,mercury capri 2000,194.9860471457261,2019.023166508151
50,28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900,195.52054835425014,2273.412110361335
51,30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304,198.5910409553355,2493.6202718570685
52,30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b,192.3800398049617,2540.9819228541064
53,31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200,171.91246923965844,2327.0150203904936
54,35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200,156.1081160279439,2446.973969909781
55,27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen model 111,184.57264932757568,2691.760956502375
56,26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth cricket,197.69437964987318,2906.9233464737995
57,24.0,4,113.0,95.0,2278,15.5,72,japan,toyota corona hardtop,170.10085038840552,2595.3535975604814
58,25.0,4,97.5,80.0,2126,17.0,72,usa,dodge colt hardtop,179.04106766883433,2546.4224834842444
